Company_Name,Contact_Person,Email,Phone,Address,Country,Specialization,Established_Year,Material_Categories
Australian Pipeline Valve (APV),,apv@apvvalves.com,+61 3 5793 2500,"15A Davis Road, Woori Yallock",Australia,Manufacturer of API 6D ball valves and pipeline valves,1970,Valves
Erne Fittings GmbH,Export Manager,sales@ernefittings.com,+43 5552 123 4567,"Church Street 67, 6824 Schlins",Austria,Pipe Fittings Manufacturer,1980,Fittings
Klinger Dichtungstechnik GmbH,,sales@klinger.co.at,+43 2252 62599137,"Am Kanal 8-10, 2352 Gumpoldskirchen",Austria,Manufacturer of gaskets and sealing materials,,Gaskets
Klinger Group,Managing Director,info@klinger.com,+43 1 012 3456,"High Street 123, 1230 Vienna",Austria,Industrial Equipment Supplier,2010,Gaskets
Bahrain Pipes B.S.C.,,sales@bahrainpipes.com,+973 17701888,"Sitra Industrial Area, Kingdom of Bahrain",Bahrain,Manufacturer of HDPE and uPVC pipes for water and gas,1996,Pipes
Velan Inc.,,valves@velan.com,+1 514 748 7743,"7007 Côte-de-Liesse Rd, Montreal",Canada,Designer and manufacturer of industrial steel valves,1950,Valves
Advanced Flow Control Group Co.,Technical Director,sales@afcvalve.com,+86 139 8901 2345,"No. 543, Jianguo Road",China,Valve Manufacturer for Industrial Applications,2003,Valves
Baosteel Special Steel Co.,Operations Manager,contact@baosteel-ss.com,+86 21 2890 3456,"No. 1269, Shuanghu Road",China,Steel Pipe Manufacturer for Oil and Gas Industry,2000,Piping
Beijing Sealing Solutions LLC,Managing Director,info@beijingsealings.com,+86 10 789 0123,"No. 932, Dongfang Road",China,Gaskets Supplier for Oil and Gas Industry,1990,Gaskets
Cixi Hongye Sealing Materials Co.,Technical Director,sales@hongyesealing.com,+86 574 567 8901,"No. 456, Nanjing Road",China,Gaskets Manufacturer,1998,Gaskets
Haihao Group,Export Manager,sales@haihaogroup.com,+86 371 456 7890,"No. 456, Huaihai Road",China,Flanges and Fittings Manufacturer,2010,Flanges
Haiyan Yihui Hardware Co.,General Manager,martin.bruno@haiyanyihuihard.com,+86 398 3579 4980,"No. 744, Nanjing Road",China,Bolts and Fasteners Manufacturer,1978,Bolts
Hangzhou Fin Tube Co.,Mr. Miao,neo.miao@hzfintube.com,+86 571 23291511,"Yongchang Industrial Park, Fuyang District",China,Manufacturer of finned heat exchanger tubes,2006,Finned tubes
Hebei Haihao High Pressure Flange,Technical Director,contact@haihaoflange.com,+86 311 567 8901,"No. 789, Zhongshan Road",China,Industrial Equipment Supplier,1992,Flanges
Hebei Hengtong Pipe Fitting Group Co.,,hengtonggp@163.com,+86 13292707679,"Zhenggang Industry Park, Yanshan County",China,Manufacturer of steel pipe fittings and flanges,1996,Flanges
Hebei Jiake Pipes Industry Co.,Technical Director,contact@jiakepipes.com,+86 311 567 8901,"No. 789, Huangpu Road",China,Pipe Fittings Manufacturer,1998,Fittings
Hebei Shengtian Pipe-Fitting Group,Sales Director,info@shengtiangroupfitting.com,+86 311 345 6789,"No. 123, Renmin Road",China,Pipe Fittings Manufacturer,1995,Gaskets
Huzhou Shuanglin Hengxin Steel Pipe Co.,Technical Director,contact@henxinsteel.com,+86 572 567 8901,"No. 789, Jianguo Road",China,Finned Tubes Manufacturer,1999,Finned tubes
Jiangsu Guoqiang Flange Manufacturing,Managing Director,info@guoqiangflange.com,+86 514 678 9012,"No. 321, Jianguo Road",China,Flanges Manufacturer,2001,Flanges
Jiangsu Hongtu High Technology Co.,Sales Director,info@hongtutech.com,+86 513 345 6789,"No. 123, Renmin Road",China,Finned Tubes Manufacturer,1996,Finned tubes
Jiangsu Suyan Valve Machinery Co.,Sales Director,info@suyvalve.com,+86 136 7890 1234,"No. 987, Nanjing Road",China,Valve Manufacturer for Industrial Applications,2001,Valves
Jiaxing Goshen Hardware Co.,General Manager,contact@goshenhardware.com,+86 573 234 5678,"No. 123, Jianguo Road",China,Bolts and Fasteners Manufacturer,1999,Bolts
Jiaxing Jingjiang Import & Export Co.,Export Manager,sales@jingjiangexport.com,+86 573 567 8901,"No. 321, Zhongshan Road",China,Bolts and Fasteners Manufacturer,1997,Bolts
Jinan Hyupshin Flanges Co.,Sales Director,info@hyupshinflanges.com,+86 531 345 6789,"No. 123, Dongfang Road",China,Flanges Manufacturer,1998,Flanges
Jinan Mech Piping Technology Co.,Export Manager,sales@mechpiping.com,+86 531 456 7890,"No. 456, Xinhua Road",China,Pipe Fittings Manufacturer,2002,Fittings
Neway Valve,CEO,contact@newayvalve.com,+86 159 3456 7890,"No. 789, Huangpu Road",China,Valve Manufacturer for Industrial Applications,1992,Valves
Neway Valve (Suzhou) Co.,White Shen,white.shen@neway.com.cn,+86 512 66651365,"No. 666 Taishan Road, Suzhou New District",China,Manufacturer of industrial valves,1997,Valves
Ningbo Jienuo Fastener Co.,Managing Director,contact@jienuofastener.com,+86 574 678 9012,"No. 789, Xinhua Road",China,Gaskets and Fasteners Manufacturer,2003,Gaskets
Ningbo Jinding Fastening Piece Co.,Sales Director,info@jindingfastening.com,+86 574 456 7890,"No. 789, Dongfang Road",China,Bolts and Fasteners Manufacturer,2004,Bolts
Ningbo Sunwell Sealing Materials Co.,Chen Wei,Chen.Wei@sunwellseals.com,+86 574 23450019,"No.1789 Xiaolin Road, Cixi",China,Manufacturer of gaskets and sealing products,2005,Gaskets
